wayanadCount,shimogaCount,mysoreCount,shimogaDeath,mysoreDeath,kodaguDeath,karnatakaCount,bangaloreCount,mangaloreCount,kodaguCount,udupiCount,kasargodCount,mangaloreVaccinations,karnatakaVaccinations,keralaVaccinations,mangaloreDeath,indiaDailyConfirmed,bangaloreUrbanDeath,Date
170,589,1171,13,13,1,16604,3992,651,193,519,341,443423,13433278,9230736,7,153396,242,"31, May 2021"
281,520,1153,13,15,4,14304,3418,536,162,735,439,454233,13677578,9402736,5,126835,276,"01, June 2021"
307,548,1687,10,12,1,16387,4095,618,298,636,461,461640,13898558,9571704,5,133953,307,"02, June 2021"
234,767,1573,7,12,1,18324,3533,598,310,580,560,470634,14141929,9676157,5,134044,347,"03, June 2021"
272,636,1265,8,18,16068,3221,806,388,561,392,479243,14402943,9840358,9,132424,206,"04, June 2021"
272,636,1265,8,18,16068,3221,806,388,561,392,479243,14402943,9840358,9,0,132424,206,"04, June 2021"
241,710,1155,9,22,13800,2686,714,255,552,520,0,0,0,8,0,113898,206,"06, June 2021"
198,456,1237,6,19,12209,2944,609,162,494,423,0,0,0,5,0,114488,187,"06, June 2021"
128,1224,1213,9,17,11958,1992,408,230,394,215,0,0,0,3,0,101209,199,"07, June 2021"
272,703,974,10,15,9808,2028,525,196,205,454,0,0,0,5,0,85803,44,"08, June 2021"
310,562,1163,9,22,10959,2395,594,216,413,533,0,0,0,3,0,92785,50,"09, June 2021"
194,521,1011,8,18,11042,2191,580,279,291,443,0,0,0,8,0,93883,47,"10, June 2021"
191,429,817,7,20,8249,1154,506,189,215,499,0,0,0,3,0,91845,48,"11, June 2021"
147,393,1251,3,25,7810,1348,434,125,223,419,0,0,0,1,0,80525,23,"13, June 2021"
104,353,670,6,25,6835,1470,648,110,122,326,0,0,0,6,0,71001,12,"14, June 2021"
184,282,490,5,26,5041,985,482,64,107,301,0,0,0,5,0,60008,16,"15, June 2021"
228,262,841,4,28,7345,1611,790,116,159,430,0,0,0,10,0,62214,19,"16, June 2021"
259,229,596,5,26,5983,1209,679,152,166,416,0,0,0,11,0,67289,17,"17, June 2021"
206,199,551,6,15,5783,1100,1006,147,188,373,0,0,0,14,0,62434,39,"18, June 2021"
179,141,545,5,17,4517,933,525,137,167,476,0,0,0,11,0,52092,12,"20, June 2021"
114,217,546,5,22,4867,1034,542,206,117,319,0,0,0,14,0,52978,28,"21, June 2021"
266,169,486,4,11,3709,803,374,161,81,430,0,0,0,15,0,42683,26,"22, June 2021"
311,219,499,4,18,4436,1008,538,152,135,590,0,0,0,13,0,50817,24,"23, June 2021"
352,206,404,5,22,3979,969,498,115,123,439,0,0,0,15,0,54296,14,"24, June 2021"
203,212,367,4,22,3310,614,377,183,92,729,0,0,0,14,0,51659,17,"25, June 2021"
230,217,647,4,22,4272,955,375,160,139,577,0,0,0,14,0,48768,16,"26, June 2021"
246,177,478,5,15,3604,788,454,115,97,675,0,0,0,15,0,49844,11,"27, June 2021"
175,194,282,3,8,2576,563,263,150,71,513,0,0,0,14,0,46523,18,"28, June 2021"
268,225,415,3,10,3222,753,385,130,83,570,0,0,0,15,0,37070,16,"29, June 2021"
372,150,367,6,14,3382,813,339,209,150,709,0,0,0,15,0,46104,11,"30, June 2021"
266,194,366,4,5,3203,676,285,167,146,765,0,0,0,14,0,48606,18,"01, July 2021"
266,194,366,4,5,3203,676,285,167,146,765,14,0,43169,18,"02, July 2021"
266,194,366,4,5,3203,676,285,167,146,765,14,0,43169,18,12868,"02, July 2021"
